station_id,first_date,last_date,n_observed_days,n_missing_days,history_days,total_demand,history_group,is_short_history,is_zero_almost_always,appears_active_recently
4407,2019-08-18,2019-08-18,1,0,1,150.0,newborn,True,False,False
4408,2019-06-09,2020-08-29,448,0,448,129.0,mature,False,False,False
4409,2019-06-09,2020-09-15,465,0,465,478.0,mature,False,False,False
4410,2019-06-07,2024-12-31,2035,0,2035,9946.0,mature,False,False,True
4413,2019-08-07,2021-06-02,666,0,666,354.0,mature,False,False,False
4414,2019-08-08,2021-07-01,694,0,694,450.0,mature,False,False,False
4415,2019-08-06,2021-10-06,793,0,793,407.0,mature,False,False,False
4416,2019-08-06,2021-06-24,689,0,689,229.0,mature,False,False,False
4417,2019-08-05,2021-11-07,826,0,826,404.0,mature,False,False,False
4418,2019-08-07,2021-06-30,694,0,694,149.0,mature,False,False,False
4419,2019-08-07,2021-07-25,719,0,719,328.0,mature,False,False,False
4420,2019-08-05,2021-11-13,832,0,832,1980.0,mature,False,False,False
4422,2019-08-07,2021-10-12,798,0,798,324.0,mature,False,False,False
4425,2019-08-13,2021-10-07,787,0,787,367.0,mature,False,False,False
4426,2019-08-07,2021-09-25,781,0,781,353.0,mature,False,False,False
4427,2019-08-07,2021-07-15,709,0,709,302.0,mature,False,False,False
4428,2019-08-05,2021-10-05,793,0,793,500.0,mature,False,False,False
4429,2019-08-06,2021-11-10,828,0,828,554.0,mature,False,False,False
4430,2019-08-08,2021-10-21,806,0,806,228.0,mature,False,False,False
4431,2019-08-08,2021-10-31,816,0,816,422.0,mature,False,False,False
4432,2019-08-25,2021-09-15,753,0,753,105.0,mature,False,False,False
4435,2019-08-29,2019-11-12,76,0,76,53.0,newborn,True,False,False
4436,2019-09-06,2024-12-31,1944,0,1944,2305.0,mature,False,False,True
4437,2019-09-05,2024-12-29,1943,0,1943,3170.0,mature,False,False,True
4438,2019-09-06,2024-12-29,1942,0,1942,1736.0,mature,False,False,True
4439,2019-12-16,2024-12-22,1834,0,1834,2199.0,mature,False,False,True
4440,2019-09-11,2024-12-31,1939,0,1939,6866.0,mature,False,False,True
4441,2019-09-11,2024-12-29,1937,0,1937,3180.0,mature,False,False,True
4442,2019-09-15,2024-12-31,1935,0,1935,3041.0,mature,False,False,True
