station_id,history_group,station_category,cluster_label,is_short_history,is_zero_almost_always,appears_active_recently
3000,newborn,short_history,not_clustered_short_history,True,False,False
3005,mature,busy_stable,cluster_1,False,False,True
3006,mature,busy_stable,cluster_1,False,False,True
3007,mature,busy_stable,cluster_1,False,False,True
3008,mature,busy_stable,cluster_2,False,False,True
3010,mature,mixed_profile,cluster_4,False,False,True
3011,mature,mixed_profile,cluster_2,False,False,True
3013,young,short_history,not_clustered_short_history,True,False,False
3014,mature,anomaly_heavy,cluster_1,False,False,True
3016,mature,seasonal_commuter,cluster_2,False,False,True
3018,mature,busy_stable,cluster_2,False,False,True
3019,mature,busy_stable,cluster_2,False,False,True
3020,mature,mixed_profile,cluster_2,False,False,True
3022,mature,busy_stable,cluster_2,False,False,True
3023,mature,mixed_profile,cluster_2,False,False,False
3024,mature,seasonal_commuter,cluster_2,False,False,True
3025,mature,mixed_profile,cluster_2,False,False,True
3026,mature,busy_stable,cluster_2,False,False,True
3027,mature,busy_stable,cluster_2,False,False,True
3028,mature,mixed_profile,cluster_2,False,False,True
3029,mature,mixed_profile,cluster_2,False,False,False
3030,mature,anomaly_heavy,cluster_1,False,False,True
3031,mature,busy_stable,cluster_1,False,False,False
3032,mature,seasonal_commuter,cluster_1,False,False,True
3033,mature,mixed_profile,cluster_2,False,False,True
3034,mature,busy_stable,cluster_2,False,False,True
3035,mature,busy_stable,cluster_1,False,False,True
3036,mature,weekend_leisure,cluster_2,False,False,False
3037,mature,mixed_profile,cluster_2,False,False,True
3038,young,short_history,not_clustered_short_history,True,False,False
3040,mature,mixed_profile,cluster_2,False,False,True
3042,mature,mixed_profile,cluster_2,False,False,True
3045,mature,mixed_profile,cluster_2,False,False,True
3046,mature,mixed_profile,cluster_2,False,False,True
3047,mature,busy_stable,cluster_2,False,False,True
3048,mature,mixed_profile,cluster_2,False,False,True
3049,mature,mixed_profile,cluster_2,False,False,True
3051,mature,busy_stable,cluster_2,False,False,False
3052,mature,busy_stable,cluster_2,False,False,True
3054,mature,mixed_profile,cluster_2,False,False,True
3056,mature,mixed_profile,cluster_2,False,False,True
3057,mature,mixed_profile,cluster_2,False,False,False
3058,mature,mixed_profile,cluster_2,False,False,True
3062,mature,busy_stable,cluster_2,False,False,True
3063,mature,busy_stable,cluster_1,False,False,True
3064,mature,busy_stable,cluster_1,False,False,True
3065,mature,weekend_leisure,cluster_4,False,False,True
3066,mature,busy_stable,cluster_2,False,False,True
3067,mature,busy_stable,cluster_2,False,False,False
3068,mature,busy_stable,cluster_2,False,False,True
3069,mature,busy_stable,cluster_2,False,False,True
3074,mature,busy_stable,cluster_1,False,False,True
3075,mature,busy_stable,cluster_2,False,False,True
3076,mature,mixed_profile,cluster_2,False,False,True
3077,mature,mixed_profile,cluster_2,False,False,True
3078,mature,weekend_leisure,cluster_2,False,False,True
3079,mature,mixed_profile,cluster_4,False,False,True
3081,mature,seasonal_commuter,cluster_2,False,False,True
3082,mature,busy_stable,cluster_2,False,False,True
4108,young,short_history,not_clustered_short_history,True,False,False
4125,young,short_history,not_clustered_short_history,True,False,False
4126,young,short_history,not_clustered_short_history,True,False,False
4127,young,short_history,not_clustered_short_history,True,False,False
4129,young,short_history,not_clustered_short_history,True,False,False
4130,young,short_history,not_clustered_short_history,True,False,False
4131,young,short_history,not_clustered_short_history,True,False,False
4132,young,short_history,not_clustered_short_history,True,False,False
4133,young,short_history,not_clustered_short_history,True,False,False
4134,young,short_history,not_clustered_short_history,True,False,False
4135,young,short_history,not_clustered_short_history,True,False,False
4136,young,short_history,not_clustered_short_history,True,False,False
