date,prediction,model_name,fold_id,horizon,horizon_step,actual,fit_success,fallback_triggered,fallback_reason,exception_type,warning_count,n_train,n_exog,condition_number,model_runtime_seconds,selected_spec,used_exog_columns,point_forecast,lower_80,upper_80,lower_95,upper_95,interval_calibration_method,interval_source_horizon,interval_source_step_start,interval_source_step_end,interval_n_residuals
2024-11-04,1230.24951171875,fourier_dynamic_regression,1,7,5,1361.0,,,,,,,,,,,,1230.24951171875,979.745947265625,1352.269970703125,823.091015625,1396.1685546875,pooled_nearby_steps,7,4,6,24
2024-11-05,1269.669921875,fourier_dynamic_regression,1,7,6,1482.0,,,,,,,,,,,,1269.669921875,1025.52802734375,1392.301953125,761.0110107421875,1450.8772827148437,pooled_nearby_steps,7,5,7,24
2024-11-06,1253.173828125,fourier_dynamic_regression,1,7,7,1217.0,,,,,,,,,,,,1253.173828125,1009.03193359375,1375.805859375,744.5149169921875,1434.3811889648437,pooled_nearby_steps,7,5,7,24
2024-10-31,1532.0079292565422,tree_boosting_fallback,1,7,1,1459.0,,,,,,,,,,,,1532.0079292565422,1246.6372223790818,1624.0909108933645,1139.4348717242428,1769.564852966016,pooled_nearby_steps,7,1,3,24
2024-11-01,1502.3270203418604,tree_boosting_fallback,1,7,2,1817.0,,,,,,,,,,,,1502.3270203418604,1216.9563134644,1594.4100019786827,1109.753962809561,1739.883944051334,pooled_nearby_steps,7,1,3,24
2024-11-02,1589.0112800131105,tree_boosting_fallback,1,7,3,1211.0,,,,,,,,,,,,1589.0112800131105,1303.6405731356501,1661.9374070145,1199.7649997138121,1826.5682037225843,pooled_nearby_steps,7,2,4,24
2024-11-03,1748.4465748041407,tree_boosting_fallback,1,7,4,1344.0,,,,,,,,,,,,1748.4465748041407,1467.945926296433,1780.602879519857,1359.2002945048423,1874.712163035805,pooled_nearby_steps,7,3,5,24
2024-11-04,1513.4278568752873,tree_boosting_fallback,1,7,5,1361.0,,,,,,,,,,,,1513.4278568752873,1266.767112065243,1545.938383333815,1109.475382861721,1573.6089034139277,pooled_nearby_steps,7,4,6,24
2024-11-05,1569.21301969022,tree_boosting_fallback,1,7,6,1482.0,,,,,,,,,,,,1569.21301969022,1360.6576166024297,1620.2215715349907,1203.9609673869556,1661.0541987667343,pooled_nearby_steps,7,5,7,24
2024-11-06,1431.4295285246658,tree_boosting_fallback,1,7,7,1217.0,,,,,,,,,,,,1431.4295285246658,1222.8741254368754,1482.4380803694364,1066.1774762214013,1523.27070760118,pooled_nearby_steps,7,5,7,24
2024-11-07,1217.0,naive,2,7,1,1465.0,,,,,,,,,,,,1217.0,959.6,1405.6,851.175,1552.9750000000001,pooled_nearby_steps,7,1,3,24
2024-11-08,1217.0,naive,2,7,2,1345.0,,,,,,,,,,,,1217.0,959.6,1405.6,851.175,1552.9750000000001,pooled_nearby_steps,7,1,3,24
2024-11-09,1217.0,naive,2,7,3,1672.0,,,,,,,,,,,,1217.0,959.6,1395.8,899.475,1532.275,pooled_nearby_steps,7,2,4,24
2024-11-10,1217.0,naive,2,7,4,1415.0,,,,,,,,,,,,1217.0,957.5,1330.8999999999999,895.45,1524.2250000000001,pooled_nearby_steps,7,3,5,24
2024-11-11,1217.0,naive,2,7,5,1147.0,,,,,,,,,,,,1217.0,961.1,1253.3999999999999,821.925,1367.275,pooled_nearby_steps,7,4,6,24
2024-11-12,1217.0,naive,2,7,6,1332.0,,,,,,,,,,,,1217.0,865.0,1255.5,705.2,1348.15,pooled_nearby_steps,7,5,7,24
2024-11-13,1217.0,naive,2,7,7,1370.0,,,,,,,,,,,,1217.0,865.0,1255.5,705.2,1348.15,pooled_nearby_steps,7,5,7,24
2024-11-07,1459.0,seasonal_naive_7,2,7,1,1465.0,,,,,,,,,,,,1459.0,1082.3,1621.1,934.725,1821.1000000000001,pooled_nearby_steps,7,1,3,24
2024-11-08,1817.0,seasonal_naive_7,2,7,2,1345.0,,,,,,,,,,,,1817.0,1440.3,1979.1,1292.725,2179.1000000000004,pooled_nearby_steps,7,1,3,24
2024-11-09,1211.0,seasonal_naive_7,2,7,3,1672.0,,,,,,,,,,,,1211.0,936.1,1333.5,772.925,1505.8250000000003,pooled_nearby_steps,7,2,4,24
2024-11-10,1344.0,seasonal_naive_7,2,7,4,1415.0,,,,,,,,,,,,1344.0,1118.1,1439.2,1033.35,1619.8500000000004,pooled_nearby_steps,7,3,5,24
2024-11-11,1361.0,seasonal_naive_7,2,7,5,1147.0,,,,,,,,,,,,1361.0,1162.3,1424.2,994.85,1461.425,pooled_nearby_steps,7,4,6,24
2024-11-12,1482.0,seasonal_naive_7,2,7,6,1332.0,,,,,,,,,,,,1482.0,1146.2,1563.7,977.85,1605.1000000000001,pooled_nearby_steps,7,5,7,24
2024-11-13,1217.0,seasonal_naive_7,2,7,7,1370.0,,,,,,,,,,,,1217.0,881.2,1298.7,712.85,1340.1000000000001,pooled_nearby_steps,7,5,7,24
2024-11-07,1592.0,seasonal_naive_30,2,7,1,1465.0,,,,,,,,,,,,1592.0,1114.1,1586.1,954.525,1660.475,pooled_nearby_steps,7,1,3,24
2024-11-08,1462.0,seasonal_naive_30,2,7,2,1345.0,,,,,,,,,,,,1462.0,984.1,1456.1,824.525,1530.475,pooled_nearby_steps,7,1,3,24
2024-11-09,1588.0,seasonal_naive_30,2,7,3,1672.0,,,,,,,,,,,,1588.0,1067.0,1582.1,898.675,1656.475,pooled_nearby_steps,7,2,4,24
2024-11-10,1625.0,seasonal_naive_30,2,7,4,1415.0,,,,,,,,,,,,1625.0,1057.3,1465.4,922.45,1661.275,pooled_nearby_steps,7,3,5,24
2024-11-11,1724.0,seasonal_naive_30,2,7,5,1147.0,,,,,,,,,,,,1724.0,1065.9,1572.8,643.8499999999999,1681.3000000000002,pooled_nearby_steps,7,4,6,24
2024-11-12,2825.0,seasonal_naive_30,2,7,6,1332.0,,,,,,,,,,,,2825.0,2197.6,2724.3,1809.825,2815.65,pooled_nearby_steps,7,5,7,24
2024-11-13,1491.0,seasonal_naive_30,2,7,7,1370.0,,,,,,,,,,,,1491.0,863.6,1390.3,475.82500000000005,1481.65,pooled_nearby_steps,7,5,7,24
2024-11-07,1395.875530602113,ets,2,7,1,1465.0,,,,,,,,,,,,1395.875530602113,1098.3880599921795,1490.311814231439,1037.3008278670534,1658.333646560217,pooled_nearby_steps,7,1,3,24
2024-11-08,1457.2016834649207,ets,2,7,2,1345.0,,,,,,,,,,,,1457.2016834649207,1159.7142128549872,1551.6379670942467,1098.626980729861,1719.6597994230247,pooled_nearby_steps,7,1,3,24
2024-11-09,1415.2995118339486,ets,2,7,3,1672.0,,,,,,,,,,,,1415.2995118339486,1140.3595261681103,1493.752298898438,1093.6588256001776,1677.7576277920525,pooled_nearby_steps,7,2,4,24
2024-11-10,1482.823449016011,ets,2,7,4,1415.0,,,,,,,,,,,,1482.823449016011,1207.8834633501729,1501.4024617065372,1161.18276278224,1650.5720848713488,pooled_nearby_steps,7,3,5,24
2024-11-11,1289.4107112704621,ets,2,7,5,1147.0,,,,,,,,,,,,1289.4107112704621,1020.7452642085464,1298.8828899450336,919.9614566935792,1314.0301437400399,pooled_nearby_steps,7,4,6,24
2024-11-12,1374.0215788569678,ets,2,7,6,1332.0,,,,,,,,,,,,1374.0215788569678,1143.708475129641,1393.3694295327427,940.0099215734358,1408.3858656338066,pooled_nearby_steps,7,5,7,24
2024-11-13,1375.490719469841,ets,2,7,7,1370.0,,,,,,,,,,,,1375.490719469841,1145.1776157425143,1394.838570145616,941.479062186309,1409.8550062466797,pooled_nearby_steps,7,5,7,24
2024-11-07,1359.6662322991601,sarimax_dynamic,2,7,1,1465.0,True,False,,,0.0,1095.0,8.0,5.366823619605919,2.9016544169862755,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1359.6662322991601,1084.240734453142,1481.7919578864871,1016.3270053268283,1641.0503599518304,pooled_nearby_steps,7,1,3,24
2024-11-08,1400.9473565625246,sarimax_dynamic,2,7,2,1345.0,True,False,,,0.0,1095.0,8.0,5.366823619605919,2.9016544169862755,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1400.9473565625246,1125.5218587165066,1523.0730821498516,1057.6081295901927,1682.331484215195,pooled_nearby_steps,7,1,3,24
2024-11-09,1420.199186043034,sarimax_dynamic,2,7,3,1672.0,True,False,,,0.0,1095.0,8.0,5.366823619605919,2.9016544169862755,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1420.199186043034,1176.9373024226068,1524.1034382931,1117.3734710449367,1701.5833136957042,pooled_nearby_steps,7,2,4,24
2024-11-10,1412.9120162480096,sarimax_dynamic,2,7,4,1415.0,True,False,,,0.0,1095.0,8.0,5.366823619605919,2.9016544169862755,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1412.9120162480096,1171.6717412998594,1496.5468850908617,1110.0863012499124,1584.2988646686583,pooled_nearby_steps,7,3,5,24
2024-11-11,1285.593923389511,sarimax_dynamic,2,7,5,1147.0,True,False,,,0.0,1095.0,8.0,5.366823619605919,2.9016544169862755,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1285.593923389511,1083.6808799707187,1367.4010878302336,941.192043125958,1376.287880968071,pooled_nearby_steps,7,4,6,24
2024-11-12,1292.0157445728166,sarimax_dynamic,2,7,6,1332.0,True,False,,,0.0,1095.0,8.0,5.366823619605919,2.9016544169862755,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1292.0157445728166,1136.7901193055534,1383.6396178314021,871.8902663760606,1387.4707994771882,pooled_nearby_steps,7,5,7,24
2024-11-13,1276.4183640133986,sarimax_dynamic,2,7,7,1370.0,True,False,,,0.0,1095.0,8.0,5.366823619605919,2.9016544169862755,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3,1276.4183640133986,1121.1927387461353,1368.042237271984,856.2928858166425,1371.87341891777,pooled_nearby_steps,7,5,7,24
2024-11-07,1273.8927001953125,fourier_dynamic_regression,2,7,1,1465.0,,,,,,,,,,,,1273.8927001953125,1029.3354858398438,1464.2361206054688,935.8812141418457,1682.5094161987306,pooled_nearby_steps,7,1,3,24
2024-11-08,1316.535888671875,fourier_dynamic_regression,2,7,2,1345.0,,,,,,,,,,,,1316.535888671875,1071.9786743164063,1506.8793090820313,978.5244026184082,1725.152604675293,pooled_nearby_steps,7,1,3,24
2024-11-09,1300.91015625,fourier_dynamic_regression,2,7,3,1672.0,,,,,,,,,,,,1300.91015625,1054.08671875,1463.9605590820313,1002.4564994812011,1709.526872253418,pooled_nearby_steps,7,2,4,24
2024-11-10,1283.384765625,fourier_dynamic_regression,2,7,4,1415.0,,,,,,,,,,,,1283.384765625,1036.561328125,1414.740576171875,1018.3935424804688,1540.642578125,pooled_nearby_steps,7,3,5,24
2024-11-11,1158.86181640625,fourier_dynamic_regression,2,7,5,1147.0,,,,,,,,,,,,1158.86181640625,908.358251953125,1280.882275390625,751.7033203125,1324.780859375,pooled_nearby_steps,7,4,6,24
2024-11-12,1230.349609375,fourier_dynamic_regression,2,7,6,1332.0,,,,,,,,,,,,1230.349609375,986.20771484375,1352.981640625,721.6906982421875,1411.5569702148437,pooled_nearby_steps,7,5,7,24
2024-11-13,1211.79638671875,fourier_dynamic_regression,2,7,7,1370.0,,,,,,,,,,,,1211.79638671875,967.6544921875,1334.42841796875,703.1374755859375,1393.0037475585937,pooled_nearby_steps,7,5,7,24
2024-11-07,1370.3684579143624,tree_boosting_fallback,2,7,1,1465.0,,,,,,,,,,,,1370.3684579143624,1084.997751036902,1462.4514395511846,977.7954003820629,1607.925381623836,pooled_nearby_steps,7,1,3,24
2024-11-08,1491.5480299550973,tree_boosting_fallback,2,7,2,1345.0,,,,,,,,,,,,1491.5480299550973,1206.1773230776369,1583.6310115919196,1098.9749724227977,1729.104953664571,pooled_nearby_steps,7,1,3,24
2024-11-09,1491.441900252584,tree_boosting_fallback,2,7,3,1672.0,,,,,,,,,,,,1491.441900252584,1206.0711933751236,1564.3680272539734,1102.1956199532856,1728.9988239620577,pooled_nearby_steps,7,2,4,24
2024-11-10,1683.8657309850284,tree_boosting_fallback,2,7,4,1415.0,,,,,,,,,,,,1683.8657309850284,1403.3650824773208,1716.0220357007447,1294.61945068573,1810.1313192166926,pooled_nearby_steps,7,3,5,24
2024-11-11,1341.8491104017478,tree_boosting_fallback,2,7,5,1147.0,,,,,,,,,,,,1341.8491104017478,1095.1883655917036,1374.3596368602755,937.8966363881816,1402.0301569403882,pooled_nearby_steps,7,4,6,24
2024-11-12,1406.2850244071892,tree_boosting_fallback,2,7,6,1332.0,,,,,,,,,,,,1406.2850244071892,1197.7296213193988,1457.2935762519598,1041.0329721039247,1498.1262034837034,pooled_nearby_steps,7,5,7,24
2024-11-13,1257.3430930909255,tree_boosting_fallback,2,7,7,1370.0,,,,,,,,,,,,1257.3430930909255,1048.7876900031351,1308.3516449356962,892.0910407876611,1349.1842721674398,pooled_nearby_steps,7,5,7,24
2024-11-14,1370.0,naive,3,7,1,1401.0,,,,,,,,,,,,1370.0,1112.6,1558.6,1004.175,1705.9750000000001,pooled_nearby_steps,7,1,3,24
2024-11-15,1370.0,naive,3,7,2,1395.0,,,,,,,,,,,,1370.0,1112.6,1558.6,1004.175,1705.9750000000001,pooled_nearby_steps,7,1,3,24
2024-11-16,1370.0,naive,3,7,3,1437.0,,,,,,,,,,,,1370.0,1112.6,1548.8,1052.475,1685.275,pooled_nearby_steps,7,2,4,24
2024-11-17,1370.0,naive,3,7,4,1184.0,,,,,,,,,,,,1370.0,1110.5,1483.8999999999999,1048.45,1677.2250000000001,pooled_nearby_steps,7,3,5,24
2024-11-18,1370.0,naive,3,7,5,1247.0,,,,,,,,,,,,1370.0,1114.1,1406.3999999999999,974.925,1520.275,pooled_nearby_steps,7,4,6,24
2024-11-19,1370.0,naive,3,7,6,1208.0,,,,,,,,,,,,1370.0,1018.0,1408.5,858.2,1501.15,pooled_nearby_steps,7,5,7,24
2024-11-20,1370.0,naive,3,7,7,1280.0,,,,,,,,,,,,1370.0,1018.0,1408.5,858.2,1501.15,pooled_nearby_steps,7,5,7,24
2024-11-14,1465.0,seasonal_naive_7,3,7,1,1401.0,,,,,,,,,,,,1465.0,1088.3,1627.1,940.725,1827.1000000000001,pooled_nearby_steps,7,1,3,24
2024-11-15,1345.0,seasonal_naive_7,3,7,2,1395.0,,,,,,,,,,,,1345.0,968.3,1507.1,820.725,1707.1000000000001,pooled_nearby_steps,7,1,3,24
2024-11-16,1672.0,seasonal_naive_7,3,7,3,1437.0,,,,,,,,,,,,1672.0,1397.1,1794.5,1233.925,1966.8250000000003,pooled_nearby_steps,7,2,4,24
2024-11-17,1415.0,seasonal_naive_7,3,7,4,1184.0,,,,,,,,,,,,1415.0,1189.1,1510.2,1104.35,1690.8500000000004,pooled_nearby_steps,7,3,5,24
2024-11-18,1147.0,seasonal_naive_7,3,7,5,1247.0,,,,,,,,,,,,1147.0,948.3,1210.2,780.85,1247.425,pooled_nearby_steps,7,4,6,24
2024-11-19,1332.0,seasonal_naive_7,3,7,6,1208.0,,,,,,,,,,,,1332.0,996.2,1413.7,827.85,1455.1000000000001,pooled_nearby_steps,7,5,7,24
2024-11-20,1370.0,seasonal_naive_7,3,7,7,1280.0,,,,,,,,,,,,1370.0,1034.2,1451.7,865.85,1493.1000000000001,pooled_nearby_steps,7,5,7,24
2024-11-14,1482.0,seasonal_naive_30,3,7,1,1401.0,,,,,,,,,,,,1482.0,1004.1,1476.1,844.525,1550.475,pooled_nearby_steps,7,1,3,24
2024-11-15,1417.0,seasonal_naive_30,3,7,2,1395.0,,,,,,,,,,,,1417.0,939.1,1411.1,779.525,1485.475,pooled_nearby_steps,7,1,3,24
2024-11-16,1436.0,seasonal_naive_30,3,7,3,1437.0,,,,,,,,,,,,1436.0,915.0,1430.1,746.675,1504.475,pooled_nearby_steps,7,2,4,24
2024-11-17,1711.0,seasonal_naive_30,3,7,4,1184.0,,,,,,,,,,,,1711.0,1143.3,1551.4,1008.45,1747.275,pooled_nearby_steps,7,3,5,24
2024-11-18,1478.0,seasonal_naive_30,3,7,5,1247.0,,,,,,,,,,,,1478.0,819.9,1326.8,397.8499999999999,1435.3000000000002,pooled_nearby_steps,7,4,6,24
2024-11-19,1469.0,seasonal_naive_30,3,7,6,1208.0,,,,,,,,,,,,1469.0,841.6,1368.3,453.82500000000005,1459.65,pooled_nearby_steps,7,5,7,24
2024-11-20,1535.0,seasonal_naive_30,3,7,7,1280.0,,,,,,,,,,,,1535.0,907.6,1434.3,519.825,1525.65,pooled_nearby_steps,7,5,7,24
