fold_id,horizon,train_start,train_end,test_start,test_end,mae,rmse,mase,bias,model_name,fit_success,fallback_triggered,fallback_reason,exception_type,warning_count,n_train,n_exog,condition_number,model_runtime_seconds,selected_spec,used_exog_columns
7,7,2019-01-01,2024-12-11,2024-12-12,2024-12-18,103.42857142857143,133.53437224710564,0.7969522345229706,103.42857142857143,naive,,,,,,,,,,,
7,7,2019-01-01,2024-12-11,2024-12-12,2024-12-18,76.14285714285714,101.46568737403652,0.5867065483435681,76.14285714285714,seasonal_naive_7,,,,,,,,,,,
7,7,2019-01-01,2024-12-11,2024-12-12,2024-12-18,328.42857142857144,364.5049480361784,2.530653573436892,328.42857142857144,seasonal_naive_30,,,,,,,,,,,
7,7,2019-01-01,2024-12-11,2024-12-12,2024-12-18,102.38584671741137,131.81328181664279,0.788917686843607,92.85614305281693,ets,,,,,,,,,,,
7,7,2019-01-01,2024-12-11,2024-12-12,2024-12-18,104.32466179031287,123.6774682899113,0.8038569147893662,69.09073223630412,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.367602435032544,1.0646820419933647,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
7,7,2019-01-01,2024-12-11,2024-12-12,2024-12-18,130.9854954310826,157.9848654926073,1.0092876835874274,130.9854954310826,fourier_dynamic_regression,,,,,,,,,,,
7,7,2019-01-01,2024-12-11,2024-12-12,2024-12-18,74.85036281625544,95.32429201830446,0.5767474410343769,41.78380906949959,tree_boosting_fallback,,,,,,,,,,,
8,7,2019-01-01,2024-12-18,2024-12-19,2024-12-25,286.0,328.2916821538867,2.206666264071586,286.0,naive,,,,,,,,,,,
8,7,2019-01-01,2024-12-18,2024-12-19,2024-12-25,202.14285714285714,285.2019334737106,1.5596567251055418,185.57142857142858,seasonal_naive_7,,,,,,,,,,,
8,7,2019-01-01,2024-12-18,2024-12-19,2024-12-25,388.57142857142856,421.0110280197963,2.9980680510862707,388.57142857142856,seasonal_naive_30,,,,,,,,,,,
8,7,2019-01-01,2024-12-18,2024-12-19,2024-12-25,221.33069782395052,270.2755431075787,1.7077027415787904,219.2688962634097,ets,,,,,,,,,,,
8,7,2019-01-01,2024-12-18,2024-12-19,2024-12-25,224.0696272715818,266.26197890614327,1.7288352702912384,220.57851317737934,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.367425424149315,2.679517999989912,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
8,7,2019-01-01,2024-12-18,2024-12-19,2024-12-25,316.94132341657365,350.26353980375603,2.4453976436138283,316.94132341657365,fourier_dynamic_regression,,,,,,,,,,,
8,7,2019-01-01,2024-12-18,2024-12-19,2024-12-25,164.78214711716652,216.5452009973354,1.2713958215550083,155.47353682973593,tree_boosting_fallback,,,,,,,,,,,
1,30,2019-01-01,2024-10-09,2024-10-10,2024-11-08,149.9,285.4136763833623,1.1666060698061025,-67.9,naive,,,,,,,,,,,
1,30,2019-01-01,2024-10-09,2024-10-10,2024-11-08,185.3,305.0733791510932,1.442108770747637,56.833333333333336,seasonal_naive_7,,,,,,,,,,,
1,30,2019-01-01,2024-10-09,2024-10-10,2024-11-08,230.06666666666666,320.438969748271,1.790508137380858,103.66666666666667,seasonal_naive_30,,,,,,,,,,,
1,30,2019-01-01,2024-10-09,2024-10-10,2024-11-08,172.062362214093,274.08110065420465,1.3390860316486795,45.20477765964321,ets,,,,,,,,,,,
1,30,2019-01-01,2024-10-09,2024-10-10,2024-11-08,145.0025710391122,254.01517888575236,1.1284915244277443,-23.26487777765686,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.367666759348499,1.8143982499605045,"order=(1, 0, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
1,30,2019-01-01,2024-10-09,2024-10-10,2024-11-08,205.88524373372397,322.92917779305765,1.6023147099617825,-197.5133036295573,fourier_dynamic_regression,,,,,,,,,,,
1,30,2019-01-01,2024-10-09,2024-10-10,2024-11-08,150.05175696828277,277.29525258931136,1.1677871278470233,-14.664543213980474,tree_boosting_fallback,,,,,,,,,,,
2,30,2019-01-01,2024-10-16,2024-10-17,2024-11-15,110.76666666666667,150.23237556088458,0.8591774060670256,-32.233333333333334,naive,,,,,,,,,,,
2,30,2019-01-01,2024-10-16,2024-10-17,2024-11-15,332.1333333333333,549.3272248851316,2.5762394444934826,278.1333333333333,seasonal_naive_7,,,,,,,,,,,
2,30,2019-01-01,2024-10-16,2024-10-17,2024-11-15,250.16666666666666,372.0968959827534,1.940453335098714,216.3,seasonal_naive_30,,,,,,,,,,,
2,30,2019-01-01,2024-10-16,2024-10-17,2024-11-15,234.09353423745196,271.61241578837996,1.815779797079715,225.58635467800832,ets,,,,,,,,,,,
2,30,2019-01-01,2024-10-16,2024-10-17,2024-11-15,153.39516733245915,187.16042938928635,1.1898314351963852,128.17268962211685,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.367479186345423,2.681237749988213,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
