date,target,missing_period_flag,series_scope
2019-12-20,825,0,system_level
2019-12-21,592,0,system_level
2019-12-22,442,0,system_level
2019-12-23,398,0,system_level
2019-12-24,512,0,system_level
2019-12-25,303,0,system_level
2019-12-26,455,0,system_level
2019-12-27,700,0,system_level
2019-12-28,650,0,system_level
2019-12-29,536,0,system_level
2019-12-30,804,0,system_level
2019-12-31,805,0,system_level
2020-01-01,526,0,system_level
2020-01-02,844,0,system_level
2020-01-03,924,0,system_level
2020-01-04,634,0,system_level
2020-01-05,605,0,system_level
2020-01-06,926,0,system_level
2020-01-07,939,0,system_level
2020-01-08,946,0,system_level
2020-01-09,882,0,system_level
2020-01-10,1124,0,system_level
2020-01-11,680,0,system_level
2020-01-12,627,0,system_level
2020-01-13,1007,0,system_level
2020-01-14,936,0,system_level
2020-01-15,879,0,system_level
2020-01-16,948,0,system_level
2020-01-17,964,0,system_level
2020-01-18,782,0,system_level
2020-01-19,644,0,system_level
2020-01-20,660,0,system_level
2020-01-21,876,0,system_level
2020-01-22,879,0,system_level
2020-01-23,988,0,system_level
2020-01-24,1044,0,system_level
2020-01-25,751,0,system_level
2020-01-26,647,0,system_level
2020-01-27,1037,0,system_level
2020-01-28,1081,0,system_level
2020-01-29,1077,0,system_level
2020-01-30,1063,0,system_level
2020-01-31,1011,0,system_level
2020-02-01,758,0,system_level
2020-02-02,627,0,system_level
2020-02-03,819,0,system_level
2020-02-04,915,0,system_level
2020-02-05,1011,0,system_level
2020-02-06,1030,0,system_level
2020-02-07,981,0,system_level
2020-02-08,711,0,system_level
2020-02-09,526,0,system_level
2020-02-10,909,0,system_level
2020-02-11,945,0,system_level
2020-02-12,1003,0,system_level
2020-02-13,1084,0,system_level
2020-02-14,1024,0,system_level
2020-02-15,807,0,system_level
2020-02-16,811,0,system_level
2020-02-17,692,0,system_level
2020-02-18,969,0,system_level
2020-02-19,1016,0,system_level
2020-02-20,1132,0,system_level
2020-02-21,1197,0,system_level
2020-02-22,771,0,system_level
2020-02-23,949,0,system_level
2020-02-24,1003,0,system_level
2020-02-25,1186,0,system_level
2020-02-26,1283,0,system_level
2020-02-27,1204,0,system_level
2020-02-28,1165,0,system_level
2020-02-29,926,0,system_level
2020-03-01,631,0,system_level
2020-03-02,979,0,system_level
2020-03-03,1141,0,system_level
2020-03-04,1017,0,system_level
2020-03-05,1069,0,system_level
2020-03-06,1050,0,system_level
2020-03-07,751,0,system_level
2020-03-08,718,0,system_level
2020-03-09,902,0,system_level
2020-03-10,540,0,system_level
2020-03-11,899,0,system_level
2020-03-12,484,0,system_level
2020-03-13,491,0,system_level
2020-03-14,332,0,system_level
2020-03-15,507,0,system_level
2020-03-16,338,0,system_level
2020-03-17,503,0,system_level
2020-03-18,561,0,system_level
2020-03-19,497,0,system_level
2020-03-20,495,0,system_level
2020-03-21,500,0,system_level
2020-03-22,377,0,system_level
2020-03-23,376,0,system_level
2020-03-24,392,0,system_level
2020-03-25,385,0,system_level
2020-03-26,419,0,system_level
2020-03-27,452,0,system_level
2020-03-28,466,0,system_level
2020-03-29,397,0,system_level
2020-03-30,420,0,system_level
2020-03-31,468,0,system_level
2020-04-01,533,0,system_level
2020-04-02,562,0,system_level
2020-04-03,573,0,system_level
2020-04-04,611,0,system_level
2020-04-05,441,0,system_level
2020-04-06,288,0,system_level
2020-04-07,317,0,system_level
2020-04-08,436,0,system_level
2020-04-09,108,0,system_level
2020-04-10,365,0,system_level
2020-04-11,648,0,system_level
2020-04-12,425,0,system_level
2020-04-13,483,0,system_level
2020-04-14,509,0,system_level
2020-04-15,499,0,system_level
2020-04-16,518,0,system_level
2020-04-17,624,0,system_level
2020-04-18,504,0,system_level
2020-04-19,638,0,system_level
2020-04-20,529,0,system_level
2020-04-21,608,0,system_level
2020-04-22,598,0,system_level
2020-04-23,657,0,system_level
2020-04-24,554,0,system_level
2020-04-25,653,0,system_level
2020-04-26,631,0,system_level
2020-04-27,609,0,system_level
2020-04-28,592,0,system_level
2020-04-29,599,0,system_level
2020-04-30,584,0,system_level
2020-05-01,687,0,system_level
2020-05-02,874,0,system_level
2020-05-03,688,0,system_level
2020-05-04,625,0,system_level
2020-05-05,616,0,system_level
2020-05-06,575,0,system_level
2020-05-07,620,0,system_level
2020-05-08,614,0,system_level
2020-05-09,843,0,system_level
2020-05-10,728,0,system_level
2020-05-11,548,0,system_level
2020-05-12,515,0,system_level
2020-05-13,596,0,system_level
2020-05-14,765,0,system_level
2020-05-15,726,0,system_level
2020-05-16,826,0,system_level
2020-05-17,745,0,system_level
2020-05-18,322,0,system_level
2020-05-19,589,0,system_level
2020-05-20,586,0,system_level
2020-05-21,726,0,system_level
2020-05-22,727,0,system_level
2020-05-23,858,0,system_level
2020-05-24,849,0,system_level
2020-05-25,740,0,system_level
2020-05-26,556,0,system_level
2020-05-27,589,0,system_level
2020-05-28,584,0,system_level
2020-05-29,621,0,system_level
2020-05-30,672,0,system_level
2020-05-31,469,0,system_level
2020-06-01,373,0,system_level
2020-06-02,541,0,system_level
2020-06-03,565,0,system_level
2020-06-04,630,0,system_level
2020-06-05,569,0,system_level
2020-06-06,716,0,system_level
2020-06-07,634,0,system_level
2020-06-08,456,0,system_level
2020-06-09,519,0,system_level
2020-06-10,451,0,system_level
2020-06-11,470,0,system_level
2020-06-12,524,0,system_level
2020-06-13,577,0,system_level
2020-06-14,510,0,system_level
2020-06-15,460,0,system_level
2020-06-16,500,0,system_level
2020-06-17,488,0,system_level
2020-06-18,508,0,system_level
2020-06-19,483,0,system_level
2020-06-20,564,0,system_level
2020-06-21,441,0,system_level
2020-06-22,442,0,system_level
2020-06-23,458,0,system_level
2020-06-24,476,0,system_level
2020-06-25,448,0,system_level
2020-06-26,482,0,system_level
2020-06-27,523,0,system_level
2020-06-28,418,0,system_level
2020-06-29,394,0,system_level
2020-06-30,468,0,system_level
2020-07-01,423,0,system_level
2020-07-02,465,0,system_level
2020-07-03,441,0,system_level
2020-07-04,476,0,system_level
2020-07-05,420,0,system_level
2020-07-06,466,0,system_level
2020-07-07,514,0,system_level
2020-07-08,469,0,system_level
2020-07-09,553,0,system_level
2020-07-10,481,0,system_level
2020-07-11,419,0,system_level
2020-07-12,466,0,system_level
2020-07-13,384,0,system_level
2020-07-14,533,0,system_level
2020-07-15,469,0,system_level
2020-07-16,521,0,system_level
2020-07-17,517,0,system_level
2020-07-18,601,0,system_level
2020-07-19,522,0,system_level
2020-07-20,432,0,system_level
2020-07-21,418,0,system_level
2020-07-22,423,0,system_level
2020-07-23,465,0,system_level
2020-07-24,477,0,system_level
2020-07-25,542,0,system_level
2020-07-26,470,0,system_level
2020-07-27,407,0,system_level
2020-07-28,380,0,system_level
2020-07-29,380,0,system_level
2020-07-30,456,0,system_level
2020-07-31,536,0,system_level
2020-08-01,527,0,system_level
2020-08-02,462,0,system_level
2020-08-03,390,0,system_level
2020-08-04,426,0,system_level
2020-08-05,398,0,system_level
2020-08-06,397,0,system_level
2020-08-07,481,0,system_level
2020-08-08,563,0,system_level
2020-08-09,519,0,system_level
2020-08-10,464,0,system_level
2020-08-11,433,0,system_level
2020-08-12,420,0,system_level
2020-08-13,479,0,system_level
2020-08-14,430,0,system_level
2020-08-15,479,0,system_level
2020-08-16,362,0,system_level
2020-08-17,304,0,system_level
2020-08-18,358,0,system_level
2020-08-19,375,0,system_level
2020-08-20,319,0,system_level
2020-08-21,419,0,system_level
2020-08-22,389,0,system_level
2020-08-23,457,0,system_level
2020-08-24,350,0,system_level
2020-08-25,305,0,system_level
2020-08-26,367,0,system_level
2020-08-27,347,0,system_level
2020-08-28,415,0,system_level
2020-08-29,425,0,system_level
2020-08-30,426,0,system_level
2020-08-31,282,0,system_level
2020-09-01,381,0,system_level
2020-09-02,379,0,system_level
2020-09-03,371,0,system_level
2020-09-04,393,0,system_level
2020-09-05,321,0,system_level
2020-09-06,232,0,system_level
2020-09-07,332,0,system_level
2020-09-08,352,0,system_level
2020-09-09,389,0,system_level
2020-09-10,329,0,system_level
2020-09-11,348,0,system_level
2020-09-12,309,0,system_level
2020-09-13,260,0,system_level
2020-09-14,344,0,system_level
2020-09-15,311,0,system_level
2020-09-16,328,0,system_level
2020-09-17,338,0,system_level
2020-09-18,435,0,system_level
2020-09-19,442,0,system_level
2020-09-20,350,0,system_level
2020-09-21,386,0,system_level
2020-09-22,443,0,system_level
2020-09-23,406,0,system_level
2020-09-24,393,0,system_level
